,Unnamed: 0,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
27,27,2020-10-01 06:45:00,8.2,23636.0,85,4.0,74,919,8.2,24065.0,24065.0
28,28,2020-10-01 07:00:00,8.2,23389.0,84,4.1,73,919,8.0,20376.0,20376.0
29,29,2020-10-01 07:15:00,8.2,23220.0,84,4.4,72,919,7.9,21295.0,21295.0
30,30,2020-10-01 07:30:00,8.3,23131.0,83,4.7,71,919,8.2,23497.0,23497.0
31,31,2020-10-01 07:45:00,8.4,23041.0,82,5.0,70,919,7.8,22399.0,22399.0
32,32,2020-10-01 08:00:00,8.4,22952.0,82,5.3,69,919,7.9,21316.0,21316.0
33,33,2020-10-01 08:15:00,8.4,22583.0,82,5.6,68,919,8.3,25239.0,25239.0
34,34,2020-10-01 08:30:00,8.3,21936.0,82,5.7,68,919,8.7,27967.0,27967.0
35,35,2020-10-01 08:45:00,8.2,21288.0,82,5.9,67,919,8.1,24052.0,24052.0
36,36,2020-10-01 09:00:00,8.1,20641.0,82,6.0,67,919,8.7,26491.0,26491.0
37,37,2020-10-01 09:15:00,8.1,20704.0,82,6.2,67,919,7.7,20944.0,20944.0
38,38,2020-10-01 09:30:00,8.2,21478.0,82,6.4,67,919,7.8,20778.0,20778.0
39,39,2020-10-01 09:45:00,8.2,22253.0,83,6.6,67,918,7.5,17296.0,17296.0
40,40,2020-10-01 10:00:00,8.3,23027.0,83,6.8,67,918,7.9,20278.0,20278.0
41,41,2020-10-01 10:15:00,8.5,24165.0,83,6.9,68,918,8.4,25574.0,25574.0
42,42,2020-10-01 10:30:00,8.8,25666.0,84,7.0,69,918,8.5,25555.0,25555.0
43,43,2020-10-01 10:45:00,9.1,27167.0,85,7.1,70,918,9.5,33473.0,33473.0
44,44,2020-10-01 11:00:00,9.5,28668.0,86,7.2,71,918,9.3,31621.0,31621.0
45,45,2020-10-01 11:15:00,10.0,30241.0,88,7.1,72,918,9.4,30917.0,30917.0
46,46,2020-10-01 11:30:00,10.6,31886.0,90,7.0,74,918,11.7,42773.0,42773.0
47,47,2020-10-01 11:45:00,11.2,33532.0,92,6.8,77,917,13.0,48385.0,48385.0
48,48,2020-10-01 12:00:00,11.8,35177.0,93,6.7,79,917,12.1,46822.0,46822.0
49,49,2020-10-01 12:15:00,12.1,36371.0,93,6.5,81,917,11.5,45291.0,45291.0
50,50,2020-10-01 12:30:00,12.0,37114.0,92,6.2,83,917,12.6,48000.0,48000.0
51,51,2020-10-01 12:45:00,11.9,37857.0,90,5.9,86,917,12.4,48033.0,48033.0
52,52,2020-10-01 13:00:00,11.8,38600.0,89,5.6,88,917,12.6,48171.0,48171.0
53,53,2020-10-01 13:15:00,11.8,39361.0,87,5.4,89,917,12.6,48146.0,48146.0
54,54,2020-10-01 13:30:00,12.0,40141.0,86,5.3,90,917,13.6,48656.0,48656.0
55,55,2020-10-01 13:45:00,12.2,40921.0,84,5.3,90,916,13.5,48481.0,48481.0
56,56,2020-10-01 14:00:00,12.4,41701.0,83,5.2,91,916,15.0,48414.0,48414.0
57,57,2020-10-01 14:15:00,12.5,42153.0,82,5.2,91,916,14.9,48422.0,48422.0
58,58,2020-10-01 14:30:00,12.4,42278.0,81,5.1,92,916,13.7,48241.0,48241.0
59,59,2020-10-01 14:45:00,12.4,42403.0,81,5.0,92,916,12.0,47678.0,47678.0
60,60,2020-10-01 15:00:00,12.3,42528.0,80,4.9,93,916,12.5,48058.0,48058.0
61,61,2020-10-01 15:15:00,12.2,42640.0,79,4.9,93,916,12.0,45173.0,45173.0
62,62,2020-10-01 15:30:00,12.2,42740.0,79,4.8,93,916,11.3,46140.0,46140.0
63,63,2020-10-01 15:45:00,12.2,42841.0,80,4.8,93,916,10.8,44995.0,44995.0
64,64,2020-10-01 16:00:00,12.2,42941.0,80,4.7,93,916,10.4,42085.0,42085.0
65,65,2020-10-01 16:15:00,12.3,43149.0,79,4.7,93,916,10.3,40454.0,40454.0
66,66,2020-10-01 16:30:00,12.4,43464.0,79,4.6,93,916,11.6,45217.0,45217.0
67,67,2020-10-01 16:45:00,12.6,43779.0,79,4.5,93,917,11.1,43267.0,43267.0
68,68,2020-10-01 17:00:00,12.7,44094.0,78,4.4,93,917,11.0,46588.0,46588.0
69,69,2020-10-01 17:15:00,12.8,44148.0,78,4.4,93,917,11.2,46434.0,46434.0
70,70,2020-10-01 17:30:00,12.7,43941.0,77,4.3,93,917,11.2,46888.0,46888.0
71,71,2020-10-01 17:45:00,12.7,43734.0,76,4.3,93,917,10.6,43126.0,43126.0
72,72,2020-10-01 18:00:00,12.6,43527.0,75,4.2,93,917,11.0,43143.0,43143.0
73,73,2020-10-01 18:15:00,12.4,43253.0,75,4.2,93,917,10.9,43776.0,43776.0
74,74,2020-10-01 18:30:00,12.4,42913.0,74,4.1,93,917,11.1,43028.0,43028.0
75,75,2020-10-01 18:45:00,12.2,42573.0,73,4.1,94,918,10.4,41535.0,41535.0
76,76,2020-10-01 19:00:00,12.1,42233.0,73,4.0,94,918,10.0,38768.0,38768.0
77,77,2020-10-01 19:15:00,12.0,41607.0,72,4.0,94,918,9.1,34267.0,34267.0
78,78,2020-10-01 19:30:00,11.6,40694.0,72,3.9,94,918,9.6,36487.0,36487.0
79,79,2020-10-01 19:45:00,11.4,39781.0,72,3.9,95,918,9.6,36294.0,36294.0
80,80,2020-10-01 20:00:00,11.0,38868.0,72,3.8,95,918,8.9,32094.0,32094.0
81,81,2020-10-01 20:15:00,10.8,37679.0,72,3.8,95,918,8.9,31872.0,31872.0
82,82,2020-10-01 20:30:00,10.4,36214.0,72,3.8,95,918,8.9,30725.0,30725.0
83,83,2020-10-01 20:45:00,10.2,34748.0,71,3.7,95,918,9.2,35051.0,35051.0
84,84,2020-10-01 21:00:00,9.8,33283.0,71,3.7,95,918,9.4,36541.0,36541.0
85,85,2020-10-01 21:15:00,9.5,31946.0,70,3.7,95,918,9.7,40864.0,40864.0
86,86,2020-10-01 21:30:00,9.2,30738.0,69,3.7,95,918,10.0,41340.0,41340.0
87,87,2020-10-01 21:45:00,8.9,29530.0,68,3.8,95,918,10.2,41677.0,41677.0
88,88,2020-10-01 22:00:00,8.7,28322.0,67,3.8,95,918,9.7,40267.0,40267.0
89,89,2020-10-01 22:15:00,8.5,27309.0,66,3.8,95,918,9.1,34121.0,34121.0
90,90,2020-10-01 22:30:00,8.3,26490.0,64,3.8,95,918,8.9,32001.0,32001.0
91,91,2020-10-01 22:45:00,8.2,25671.0,63,3.9,95,918,8.6,30572.0,30572.0
92,92,2020-10-01 23:00:00,8.1,24852.0,62,3.9,95,918,8.0,24340.0,24340.0
93,93,2020-10-01 23:15:00,7.9,24125.0,61,3.9,95,918,8.4,25554.0,25554.0
94,94,2020-10-01 23:30:00,7.8,23489.0,60,3.9,95,918,8.4,25906.0,25906.0
95,95,2020-10-01 23:45:00,7.7,22853.0,59,3.9,95,919,8.6,28346.0,28346.0
96,96,2020-10-02 00:00:00,7.3,23573.0,68,4.2,95,918,8.4,26764.0,26764.0
97,97,2020-10-02 00:15:00,7.1,23038.0,68,4.2,95,918,9.3,34598.0,34598.0
98,98,2020-10-02 00:30:00,7.0,22413.0,66,4.1,95,918,9.1,35192.0,35192.0
99,99,2020-10-02 00:45:00,6.9,21788.0,65,4.1,95,919,8.8,29969.0,29969.0
100,100,2020-10-02 01:00:00,6.8,21163.0,64,4.0,95,919,8.8,30320.0,30320.0
101,101,2020-10-02 01:15:00,6.7,20398.0,62,4.0,95,919,8.4,27145.0,27145.0
102,102,2020-10-02 01:30:00,6.5,19495.0,61,4.0,95,919,7.7,22038.0,22038.0
103,103,2020-10-02 01:45:00,6.3,18592.0,59,4.1,94,919,7.9,20852.0,20852.0
104,104,2020-10-02 02:00:00,6.2,17689.0,57,4.1,94,919,7.3,15461.0,15461.0
105,105,2020-10-02 02:15:00,6.1,16709.0,55,4.1,94,919,6.6,10507.0,10507.0
106,106,2020-10-02 02:30:00,5.9,15653.0,53,4.1,94,919,6.6,11247.0,11247.0
107,107,2020-10-02 02:45:00,5.9,14596.0,50,4.1,95,919,6.5,11276.0,11276.0
108,108,2020-10-02 03:00:00,5.7,13540.0,47,4.1,95,919,6.3,10259.0,10259.0
109,109,2020-10-02 03:15:00,5.7,12766.0,44,4.1,95,919,6.0,8641.0,8641.0
110,110,2020-10-02 03:30:00,5.7,12275.0,42,4.1,95,919,5.8,7022.0,7022.0
111,111,2020-10-02 03:45:00,5.6,11783.0,40,4.2,95,919,5.9,7104.0,7104.0
112,112,2020-10-02 04:00:00,5.6,11292.0,38,4.2,95,919,6.4,9608.0,9608.0
113,113,2020-10-02 04:15:00,5.5,10724.0,35,4.2,95,919,6.4,9287.0,9287.0
114,114,2020-10-02 04:30:00,5.5,10079.0,33,4.2,95,919,6.4,10195.0,10195.0
115,115,2020-10-02 04:45:00,5.4,9435.0,30,4.2,95,920,6.5,11554.0,11554.0
116,116,2020-10-02 05:00:00,5.4,8790.0,28,4.2,95,920,6.7,12924.0,12924.0
117,117,2020-10-02 05:15:00,5.5,8432.0,26,4.2,95,920,6.8,13214.0,13214.0
118,118,2020-10-02 05:30:00,5.5,8360.0,25,4.2,95,920,6.5,11962.0,11962.0
119,119,2020-10-02 05:45:00,5.6,8288.0,23,4.2,94,920,6.7,12538.0,12538.0
120,120,2020-10-02 06:00:00,5.6,8216.0,22,4.2,94,920,6.5,11286.0,11286.0
121,121,2020-10-02 06:15:00,5.7,8171.0,21,4.2,94,920,6.3,10873.0,10873.0
122,122,2020-10-02 06:30:00,5.7,8154.0,22,4.2,94,920,6.3,9518.0,9518.0
123,123,2020-10-02 06:45:00,5.8,8137.0,22,4.2,94,920,5.5,6493.0,6493.0
124,124,2020-10-02 07:00:00,5.9,8120.0,23,4.2,94,920,5.8,7158.0,7158.0
125,125,2020-10-02 07:15:00,5.9,8061.0,23,4.2,94,920,6.0,7957.0,7957.0
126,126,2020-10-02 07:30:00,5.9,7961.0,23,4.3,93,920,5.9,8072.0,8072.0
127,127,2020-10-02 07:45:00,5.9,7860.0,24,4.4,92,921,6.1,8683.0,8683.0
128,128,2020-10-02 08:00:00,5.9,7760.0,24,4.5,91,921,6.4,10020.0,10020.0
129,129,2020-10-02 08:15:00,5.8,7573.0,23,4.6,91,921,6.5,10840.0,10840.0
130,130,2020-10-02 08:30:00,5.6,7298.0,21,4.7,90,921,6.5,10563.0,10563.0
131,131,2020-10-02 08:45:00,5.4,7023.0,19,4.9,89,921,6.2,8064.0,8064.0
132,132,2020-10-02 09:00:00,5.2,6748.0,17,5.0,88,921,6.3,9170.0,9170.0
133,133,2020-10-02 09:15:00,5.1,6692.0,15,5.2,87,921,6.2,8564.0,8564.0
134,134,2020-10-02 09:30:00,5.0,6855.0,13,5.5,85,921,5.8,6659.0,6659.0
135,135,2020-10-02 09:45:00,5.0,7018.0,10,5.7,83,921,5.7,6176.0,6176.0
136,136,2020-10-02 10:00:00,4.9,7181.0,8,6.0,81,921,5.2,4947.0,4947.0
137,137,2020-10-02 10:15:00,4.9,7277.0,6,6.3,79,921,5.4,5529.0,5529.0
138,138,2020-10-02 10:30:00,4.8,7306.0,4,6.6,76,921,5.1,4057.0,4057.0
139,139,2020-10-02 10:45:00,4.7,7336.0,0,6.9,74,921,4.4,2415.0,2415.0
140,140,2020-10-02 11:00:00,4.6,7365.0,359,7.2,71,921,4.2,1464.0,1464.0
141,141,2020-10-02 11:15:00,4.6,7364.0,356,7.5,69,921,4.0,1159.0,1159.0
142,142,2020-10-02 11:30:00,4.5,7331.0,354,7.8,68,921,3.6,450.0,450.0
143,143,2020-10-02 11:45:00,4.5,7298.0,350,8.0,67,921,3.5,212.0,212.0
144,144,2020-10-02 12:00:00,4.4,7265.0,347,8.3,66,921,4.2,1350.0,1350.0
145,145,2020-10-02 12:15:00,4.5,7388.0,344,8.4,65,921,5.0,4867.0,4867.0
146,146,2020-10-02 12:30:00,4.6,7667.0,344,8.5,65,921,4.1,2102.0,2102.0
147,147,2020-10-02 12:45:00,4.7,7946.0,343,8.5,64,921,5.4,5763.0,5763.0
148,148,2020-10-02 13:00:00,4.8,8225.0,342,8.6,64,921,5.5,8349.0,8349.0
149,149,2020-10-02 13:15:00,4.8,8609.0,342,8.6,64,921,6.1,7731.0,7731.0
150,150,2020-10-02 13:30:00,4.9,9098.0,341,8.5,65,921,5.2,4760.0,4760.0
151,151,2020-10-02 13:45:00,4.8,9587.0,339,8.4,66,921,5.2,4600.0,4600.0
152,152,2020-10-02 14:00:00,4.8,10076.0,338,8.3,67,921,6.5,10087.0,10087.0
153,153,2020-10-02 14:15:00,4.9,10628.0,337,8.3,67,921,8.2,23345.0,23345.0
154,154,2020-10-02 14:30:00,4.8,11243.0,336,8.3,66,921,8.3,25264.0,25264.0
155,155,2020-10-02 14:45:00,4.8,11858.0,334,8.4,65,921,9.0,31778.0,31778.0
156,156,2020-10-02 15:00:00,4.7,12473.0,332,8.4,64,921,9.6,35504.0,35504.0
157,157,2020-10-02 15:15:00,4.7,12955.0,332,8.4,64,921,8.9,30282.0,30282.0
158,158,2020-10-02 15:30:00,4.8,13306.0,333,8.3,64,921,9.1,33407.0,33407.0
159,159,2020-10-02 15:45:00,4.8,13656.0,333,8.2,64,921,9.0,31278.0,31278.0
160,160,2020-10-02 16:00:00,4.9,14007.0,333,8.1,64,921,9.8,36884.0,36884.0
161,161,2020-10-02 16:15:00,4.9,14266.0,333,8.0,65,921,9.6,37457.0,37457.0
162,162,2020-10-02 16:30:00,4.8,14434.0,334,7.8,66,921,9.5,38242.0,38242.0
163,163,2020-10-02 16:45:00,4.7,14603.0,335,7.5,68,921,10.0,41555.0,41555.0
164,164,2020-10-02 17:00:00,4.5,14771.0,335,7.3,69,921,9.8,41435.0,41435.0
165,165,2020-10-02 17:15:00,4.4,14777.0,335,7.0,71,921,9.2,35198.0,35198.0
166,166,2020-10-02 17:30:00,4.3,14620.0,335,6.5,74,921,8.2,23170.0,23170.0
167,167,2020-10-02 17:45:00,4.1,14463.0,334,6.1,76,922,7.9,19591.0,19591.0
168,168,2020-10-02 18:00:00,4.0,14306.0,335,5.6,79,922,7.8,20278.0,20278.0
169,169,2020-10-02 18:15:00,3.9,14670.0,331,5.4,81,922,8.0,20215.0,20215.0
170,170,2020-10-02 18:30:00,4.0,15555.0,323,5.3,82,922,8.2,23127.0,23127.0
171,171,2020-10-02 18:45:00,4.2,16440.0,318,5.2,84,922,8.3,24319.0,24319.0
172,172,2020-10-02 19:00:00,4.4,17325.0,311,5.1,85,922,8.5,27255.0,27255.0
173,173,2020-10-02 19:15:00,4.7,18323.0,306,5.0,87,922,8.5,26523.0,26523.0
174,174,2020-10-02 19:30:00,5.2,19436.0,304,5.0,88,922,8.7,27881.0,27881.0
175,175,2020-10-02 19:45:00,5.6,20548.0,301,4.9,89,922,8.8,30150.0,30150.0
176,176,2020-10-02 20:00:00,6.1,21661.0,300,4.9,90,922,8.9,31346.0,31346.0
177,177,2020-10-02 20:15:00,6.2,22316.0,300,4.8,90,922,9.2,33376.0,33376.0
178,178,2020-10-02 20:30:00,6.2,22513.0,302,4.7,91,922,9.3,34952.0,34952.0
179,179,2020-10-02 20:45:00,6.2,22710.0,304,4.6,92,923,9.1,32046.0,32046.0
180,180,2020-10-02 21:00:00,6.2,22907.0,307,4.5,93,923,8.8,28222.0,28222.0
181,181,2020-10-02 21:15:00,6.2,23033.0,308,4.4,93,923,8.7,26442.0,26442.0
182,182,2020-10-02 21:30:00,6.1,23090.0,308,4.3,93,923,8.1,23118.0,23118.0
183,183,2020-10-02 21:45:00,6.0,23147.0,308,4.3,93,922,8.5,25368.0,25368.0
184,184,2020-10-02 22:00:00,5.8,23204.0,308,4.2,93,922,9.2,31686.0,31686.0
185,185,2020-10-02 22:15:00,5.9,23239.0,307,4.2,93,922,9.1,30158.0,30158.0
186,186,2020-10-02 22:30:00,5.9,23253.0,306,4.2,94,922,9.0,30599.0,30599.0
187,187,2020-10-02 22:45:00,6.0,23268.0,305,4.3,94,922,9.2,32239.0,32239.0
188,188,2020-10-02 23:00:00,6.0,23282.0,303,4.3,95,922,8.9,30091.0,30091.0
189,189,2020-10-02 23:15:00,5.9,23169.0,303,4.3,95,922,9.2,31606.0,31606.0
190,190,2020-10-02 23:30:00,6.1,22930.0,303,4.3,95,922,8.9,30378.0,30378.0
191,191,2020-10-02 23:45:00,6.2,22691.0,302,4.4,95,922,9.3,33655.0,33655.0
192,192,2020-10-03 00:00:00,7.9,30064.0,297,3.2,94,923,9.6,34443.0,34443.0
193,193,2020-10-03 00:15:00,8.0,30423.0,297,3.2,94,923,9.2,33245.0,33245.0
194,194,2020-10-03 00:30:00,8.0,30620.0,298,3.1,94,923,9.1,32471.0,32471.0
195,195,2020-10-03 00:45:00,8.1,30817.0,297,3.1,94,923,9.1,31698.0,31698.0
196,196,2020-10-03 01:00:00,8.1,31014.0,298,3.0,94,923,9.2,31901.0,31901.0
197,197,2020-10-03 01:15:00,8.1,31072.0,298,3.0,94,923,9.3,33132.0,33132.0
198,198,2020-10-03 01:30:00,8.1,30992.0,298,2.9,94,923,8.9,30944.0,30944.0
199,199,2020-10-03 01:45:00,8.1,30912.0,297,2.8,94,922,9.2,32637.0,32637.0
200,200,2020-10-03 02:00:00,8.1,30832.0,297,2.7,94,922,9.2,31888.0,31888.0
201,201,2020-10-03 02:15:00,8.1,30391.0,297,2.6,94,922,9.3,34205.0,34205.0
202,202,2020-10-03 02:30:00,8.0,29590.0,297,2.5,94,922,9.5,36669.0,36669.0
203,203,2020-10-03 02:45:00,8.0,28788.0,297,2.5,95,922,9.6,36836.0,36836.0
204,204,2020-10-03 03:00:00,7.8,27987.0,297,2.4,95,922,9.6,36977.0,36977.0
205,205,2020-10-03 03:15:00,7.7,27099.0,297,2.4,95,922,9.6,37298.0,37298.0
206,206,2020-10-03 03:30:00,7.6,26126.0,298,2.4,95,922,8.9,33112.0,33112.0
207,207,2020-10-03 03:45:00,7.5,25153.0,299,2.5,96,922,9.0,30878.0,30878.0
208,208,2020-10-03 04:00:00,7.3,24180.0,299,2.5,96,922,8.5,27313.0,27313.0
209,209,2020-10-03 04:15:00,7.2,22981.0,300,2.6,96,922,8.0,22977.0,22977.0
210,210,2020-10-03 04:30:00,7.0,21557.0,302,2.7,96,922,7.8,19431.0,19431.0
211,211,2020-10-03 04:45:00,6.8,20132.0,304,2.9,95,922,7.6,17317.0,17317.0
212,212,2020-10-03 05:00:00,6.6,18708.0,306,3.0,95,922,7.6,17026.0,17026.0
213,213,2020-10-03 05:15:00,6.3,17567.0,308,3.1,95,922,7.7,18963.0,18963.0
214,214,2020-10-03 05:30:00,6.3,16710.0,309,3.1,95,922,7.7,19672.0,19672.0
215,215,2020-10-03 05:45:00,6.1,15852.0,310,3.2,95,922,7.6,18258.0,18258.0
216,216,2020-10-03 06:00:00,6.0,14995.0,310,3.2,95,922,7.6,17777.0,17777.0
217,217,2020-10-03 06:15:00,5.9,14129.0,312,3.2,95,922,7.5,16960.0,16960.0
218,218,2020-10-03 06:30:00,5.7,13256.0,313,3.3,95,922,7.3,14801.0,14801.0
219,219,2020-10-03 06:45:00,5.6,12382.0,314,3.3,94,922,7.3,16912.0,16912.0
220,220,2020-10-03 07:00:00,5.4,11509.0,316,3.4,94,922,7.6,18319.0,18319.0
221,221,2020-10-03 07:15:00,5.3,10659.0,317,3.5,94,922,7.6,17047.0,17047.0
222,222,2020-10-03 07:30:00,5.1,9832.0,320,3.7,93,922,7.4,16226.0,16226.0
223,223,2020-10-03 07:45:00,4.8,9005.0,322,3.8,93,922,7.6,18597.0,18597.0
224,224,2020-10-03 08:00:00,4.7,8178.0,325,4.0,92,922,7.3,14982.0,14982.0
225,225,2020-10-03 08:15:00,4.4,7551.0,329,4.2,92,922,6.8,11072.0,11072.0
226,226,2020-10-03 08:30:00,4.4,7125.0,333,4.3,91,922,6.3,9074.0,9074.0
227,227,2020-10-03 08:45:00,4.2,6698.0,338,4.4,90,922,6.0,7589.0,7589.0
228,228,2020-10-03 09:00:00,4.2,6272.0,342,4.5,89,922,5.4,5321.0,5321.0
229,229,2020-10-03 09:15:00,4.0,5765.0,346,4.6,88,922,5.0,5007.0,5007.0
230,230,2020-10-03 09:30:00,3.9,5176.0,347,4.6,89,922,5.3,6052.0,6052.0
231,231,2020-10-03 09:45:00,3.7,4960.0018796917,349,4.7,89,922,5.8,8006.0,8006.0
232,232,2020-10-03 10:00:00,3.6,4960.0039021397,350,4.7,90,922,6.0,8037.0,8037.0
233,233,2020-10-03 10:15:00,3.3,4960.0028013317,351,4.8,90,922,5.3,5504.0,5504.0
234,234,2020-10-03 10:30:00,3.1,4960.0011912377,353,5.0,89,922,4.8,4523.0,4523.0
235,235,2020-10-03 10:45:00,2.9,4960.0042909422,352,5.1,88,922,5.8,7461.0,7461.0
236,236,2020-10-03 11:00:00,2.7,4960.0003883611,354,5.3,87,922,5.4,6077.0,6077.0
237,237,2020-10-03 11:15:00,2.6,4960.0018415528,353,5.5,86,922,5.6,6376.0,6376.0
238,238,2020-10-03 11:30:00,2.5,4960.0032668038,351,5.6,85,922,4.3,2825.0,2825.0
239,239,2020-10-03 11:45:00,2.5,4960.0036806566,348,5.7,84,921,5.0,4201.0,4201.0
240,240,2020-10-03 12:00:00,2.4,4960.0005136351,345,5.8,83,921,5.1,4488.0,4488.0
241,241,2020-10-03 12:15:00,2.4,4960.0002020287,343,5.9,82,921,5.4,5630.0,5630.0
242,242,2020-10-03 12:30:00,2.4,4960.0009149845,336,6.1,82,921,5.3,5809.0,5809.0
243,243,2020-10-03 12:45:00,2.4,4960.0035609343,330,6.2,81,921,5.4,5266.0,5266.0
244,244,2020-10-03 13:00:00,2.5,4960.0026947334,323,6.4,81,921,5.4,5417.0,5417.0
245,245,2020-10-03 13:15:00,2.5,4960.0015656584,318,6.6,81,921,4.9,3874.0,3874.0
246,246,2020-10-03 13:30:00,2.6,4960.0037651697,313,6.7,80,921,3.8,1159.0,1159.0
247,247,2020-10-03 13:45:00,2.6,4960.0049212469,310,6.8,80,921,1.9,-46.0,-46.0
248,248,2020-10-03 14:00:00,2.7,4960.0023423976,306,6.9,79,921,1.9,-147.0,-147.0
249,249,2020-10-03 14:15:00,3.0,4960.0020121391,312,6.9,79,921,2.4,-121.0,-121.0
250,250,2020-10-03 14:30:00,3.4,4960.0029263682,322,6.8,80,921,4.5,2918.0,2918.0
251,251,2020-10-03 14:45:00,4.0,4960.003371053,330,6.6,80,921,5.4,5205.0,5205.0
252,252,2020-10-03 15:00:00,4.6,5277.0,336,6.5,81,921,6.6,10757.0,10757.0
253,253,2020-10-03 15:15:00,4.8,5799.0,340,6.3,82,921,7.4,15513.0,15513.0
254,254,2020-10-03 15:30:00,4.4,5968.0,344,6.2,83,921,6.1,8213.0,8213.0
255,255,2020-10-03 15:45:00,4.0,6136.0,347,6.0,84,921,5.6,5691.0,5691.0
256,256,2020-10-03 16:00:00,3.6,6305.0,352,5.9,85,921,4.6,2490.0,2490.0
257,257,2020-10-03 16:15:00,3.7,6571.0,357,5.8,86,921,4.6,2697.0,2697.0
258,258,2020-10-03 16:30:00,4.2,6934.0,0,5.7,87,921,3.8,1048.0,1048.0
259,259,2020-10-03 16:45:00,4.7,7297.0,0,5.6,87,922,3.8,981.0,981.0
260,260,2020-10-03 17:00:00,5.2,7660.0,2,5.5,88,922,4.6,2638.0,2638.0
261,261,2020-10-03 17:15:00,5.3,7823.0,4,5.5,88,922,5.3,5032.0,5032.0
262,262,2020-10-03 17:30:00,5.2,7785.0,5,5.4,88,922,5.9,6728.0,6728.0
263,263,2020-10-03 17:45:00,5.1,7746.0,7,5.4,89,922,6.3,8281.0,8281.0
264,264,2020-10-03 18:00:00,5.0,7708.0,8,5.3,89,922,6.5,9011.0,9011.0
265,265,2020-10-03 18:15:00,5.1,8125.0,6,5.3,89,922,6.5,9167.0,9167.0
266,266,2020-10-03 18:30:00,5.5,8998.0,2,5.2,89,922,6.3,9687.0,9687.0
267,267,2020-10-03 18:45:00,6.0,9871.0,0,5.1,89,923,6.3,8733.0,8733.0
268,268,2020-10-03 19:00:00,6.4,10744.0,357,5.0,89,923,5.5,5221.0,5221.0
269,269,2020-10-03 19:15:00,6.8,11720.0,356,4.9,89,923,5.7,6108.0,6108.0
270,270,2020-10-03 19:30:00,7.1,12799.0,357,4.8,88,923,4.9,3651.0,3651.0
271,271,2020-10-03 19:45:00,7.4,13878.0,357,4.8,88,923,4.6,2869.0,2869.0
272,272,2020-10-03 20:00:00,7.7,14957.0,358,4.7,87,923,5.5,5151.0,5151.0
273,273,2020-10-03 20:15:00,7.8,15666.0,357,4.7,87,923,5.9,7067.0,7067.0
274,274,2020-10-03 20:30:00,7.8,16004.0,356,4.6,87,923,5.9,6831.0,6831.0
